样本ID,第1张图,第2张图,第3张图,场景描述,标注员ID,销售经验年限,标注日期,你看到的顾客信号,你判断顾客现在的状态,你判断顾客所处阶段,阶段判断确定度(1-5),阶段判断补充说明,现在是否应该主动介入,为什么现在应该/不应该介入,介入紧迫程度(1-5),你认为最合适的主动作,主动作判断确定度(1-5),如果介入，你第一句话会怎么说,这句话的主要目的,这句话还顺带包含哪些目的,话术片段1,片段1对应目的,话术片段2,片段2对应目的,话术片段3,片段3对应目的,问候适合度(1-5),问候不适合原因(≤2时填写),询问需求适合度(1-5),询问需求不适合原因(≤2时填写),介绍信息适合度(1-5),介绍信息不适合原因(≤2时填写),推荐商品适合度(1-5),推荐商品不适合原因(≤2时填写),继续观察等待适合度(1-5),继续观察等待不适合原因(≤2时填写),为什么不选择第二合适做法,你预计顾客接下来会怎么反应,你认为的正向信号,你认为的负向信号,这条难不难标(1-5),图片/视频有没有质量问题,是否需要讨论,备注
target_piwm_700,frames/target_piwm_700_0.jpg,frames/target_piwm_700_1.jpg,frames/target_piwm_700_2.jpg,顾客在智能售货机前。顾客走近后在机器前停留，身体轻微前倾，视线先稳定看向前方，再短暂下移，并在前方不同位置之间自然切换数次，持续表现出浏览、比较和确认信息的状态。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_701,frames/target_piwm_701_0.jpg,frames/target_piwm_701_1.jpg,frames/target_piwm_701_2.jpg,顾客在智能售货机前。她站在设备前方，目光平稳地从左到右扫视，偶尔短暂停留，手指轻轻握着手机，动作自然放松，没有明显反复犹豫。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_702,frames/target_piwm_702_0.jpg,frames/target_piwm_702_1.jpg,frames/target_piwm_702_2.jpg,顾客在智能售货机前。他站在设备前停留，视线在不同位置之间来回移动，右手握着手机但不操作，左手偶尔抬起又放下，表现出比较和犹豫。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_703,frames/target_piwm_703_0.jpg,frames/target_piwm_703_1.jpg,frames/target_piwm_703_2.jpg,顾客在智能售货机前。他从画面前方缓步经过，视线短暂抬向镜头附近，快速上下打量，手机握在一只手里，另一只手自然抓着书包肩带，没有停下操作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_704,frames/target_piwm_704_0.jpg,frames/target_piwm_704_1.jpg,frames/target_piwm_704_2.jpg,顾客在智能售货机前。她从经过状态放慢并停住，视线被前方吸引，头部微微转向设备方向，手机握在胸前但没有操作，另一只手轻轻扶着包带。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_705,frames/target_piwm_705_0.jpg,frames/target_piwm_705_1.jpg,frames/target_piwm_705_2.jpg,顾客在智能售货机前。他在镜头前短暂停步，视线从上到下快速扫过前方区域，随后目光游移，左手手机停在胸前，右手公文包轻微晃动，没有进一步靠近或操作的动作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_706,frames/target_piwm_706_0.jpg,frames/target_piwm_706_1.jpg,frames/target_piwm_706_2.jpg,顾客在智能售货机前。他停在设备前，目光积极地在不同区域来回扫视，偶尔轻轻点头，双手自然放在画面内，一只手握着手机，动作轻松而连贯。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_707,frames/target_piwm_707_0.jpg,frames/target_piwm_707_1.jpg,frames/target_piwm_707_2.jpg,顾客在智能售货机前。她的目光在不同位置之间来回停留，右手握着手机，左手轻轻抬起又放下，像是在对比选项但没有明显纠结。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_708,frames/target_piwm_708_0.jpg,frames/target_piwm_708_1.jpg,frames/target_piwm_708_2.jpg,顾客在智能售货机前。他站在原地，目光在左侧和右侧之间来回移动，偶尔轻轻抬起手机又放低，手指无意识地摩挲手机边缘，停留时间略长但没有立即操作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_712,frames/target_piwm_712_0.jpg,frames/target_piwm_712_1.jpg,frames/target_piwm_712_2.jpg,顾客在智能售货机前。他的目光持续锁定在画面下方偏中央的固定位置，双手保持在胸前到腰部范围内，手指轻微收拢又放松，只有短暂的小幅确认动作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_713,frames/target_piwm_713_0.jpg,frames/target_piwm_713_1.jpg,frames/target_piwm_713_2.jpg,顾客在智能售货机前。她起初短暂看向不同位置，随后目光固定在一个方向不再扫视，右手从裤子口袋里掏出手机并抬到胸前。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_714,frames/target_piwm_714_0.jpg,frames/target_piwm_714_1.jpg,frames/target_piwm_714_2.jpg,顾客在智能售货机前。他的目光在左侧和右侧两个方向之间来回切换，偶尔轻轻点头又停住，握着手机的手指轻微摩挲，另一只手的食指小幅抬起又放下。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_718,frames/target_piwm_718_0.jpg,frames/target_piwm_718_1.jpg,frames/target_piwm_718_2.jpg,顾客在智能售货机前。他始终正面看向前方，视线稳定，动作直接，右手从胸前自然抬起并向画面下方前伸，左手轻扶背包肩带，全程没有停顿、回看或反复比较的动作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_719,frames/target_piwm_719_0.jpg,frames/target_piwm_719_1.jpg,frames/target_piwm_719_2.jpg,顾客在智能售货机前。他视线稳定看向前方偏下位置，动作简洁，右手迅速抬起并在画面下方做一次明确的确认点击，随后把手机收稳，双手自然放回身前。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_720,frames/target_piwm_720_0.jpg,frames/target_piwm_720_1.jpg,frames/target_piwm_720_2.jpg,顾客在智能售货机前。他站在镜头前，目光在正前方和略下方之间短暂切换，右手伸向画面下方准备操作，中途停顿一下后又继续前伸。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_721,frames/target_piwm_721_0.jpg,frames/target_piwm_721_1.jpg,frames/target_piwm_721_2.jpg,顾客在智能售货机前。他站在镜头前，手机握在一只手中，另一只手抬起准备操作，动作在半空中短暂停住，目光在下方操作区和旁侧位置之间快速移动后继续伸手。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_760,frames/target_piwm_760_0.jpg,frames/target_piwm_760_1.jpg,frames/target_piwm_760_2.jpg,顾客在智能售货机前。她的视线长时间停留在前方同一位置，偶尔短暂移开又回到原处，手指轻轻摩挲手机边缘，表现出想买但仍在确认的状态。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_762,frames/target_piwm_762_0.jpg,frames/target_piwm_762_1.jpg,frames/target_piwm_762_2.jpg,顾客在智能售货机前。她站在原地反复看向前方偏下的位置，视线在不同选项间缓慢移动，手指轻轻摩挲包带，偶尔微微抬手又放下，表现出中等程度的犹豫。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_763,frames/target_piwm_763_0.jpg,frames/target_piwm_763_1.jpg,frames/target_piwm_763_2.jpg,顾客在智能售货机前。她的视线稳定停留在正前方同一位置，几乎不再左右比较，右手拇指轻轻摩擦手机边缘，随后手指逐渐收紧，表现出即将确认的状态。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_764,frames/target_piwm_764_0.jpg,frames/target_piwm_764_1.jpg,frames/target_piwm_764_2.jpg,顾客在智能售货机前。他始终正面看向前方，视线短暂上下扫动后很快稳定，右手握着手机靠近胸前，左手捏着校园卡，手指轻敲卡片一次，动作干脆克制。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_765,frames/target_piwm_765_0.jpg,frames/target_piwm_765_1.jpg,frames/target_piwm_765_2.jpg,顾客在智能售货机前。他的视线长时间稳定停留在同一位置，几乎不左右扫视，左手握着手机停在胸前，右手轻微抬起像是在准备操作，整体动作简洁果断。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_766,frames/target_piwm_766_0.jpg,frames/target_piwm_766_1.jpg,frames/target_piwm_766_2.jpg,顾客在智能售货机前。他正面站在镜头前，视线稳定地在镜头下方区域短暂扫动，像是在核对价格和关键信息，随后轻轻点头，双手始终在胸腹前可见，手机握在一只手里但没有大幅操作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_789,frames/target_piwm_789_0.jpg,frames/target_piwm_789_1.jpg,frames/target_piwm_789_2.jpg,顾客在智能售货机前。她正面站在镜头前，手机自然握在右手中，视线稳定看向前方，偶尔低头确认手机后又抬眼等待，动作放松且没有明显犹豫。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_790,frames/target_piwm_790_0.jpg,frames/target_piwm_790_1.jpg,frames/target_piwm_790_2.jpg,顾客在智能售货机前。他站在原地等待，双手始终在画面内，手指轻轻交握后放松，目光稳定看向正前方偏下位置，最后微微点头作为收尾致意。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_810,frames/target_piwm_810_0.jpg,frames/target_piwm_810_1.jpg,frames/target_piwm_810_2.jpg,顾客在智能售货机前。她的视线在前方几个区域之间稳定切换，节奏从容，没有明显困惑或求助信号。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_811,frames/target_piwm_811_0.jpg,frames/target_piwm_811_1.jpg,frames/target_piwm_811_2.jpg,顾客在智能售货机前。他的视线在少数几个区域之间缓慢切换，每次都有自然停留，没有明显卡住。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_812,frames/target_piwm_812_0.jpg,frames/target_piwm_812_1.jpg,frames/target_piwm_812_2.jpg,顾客在智能售货机前。她长时间看向同一位置，偶尔做很轻的视线调整，整体状态平稳，没有求助迹象。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_813,frames/target_piwm_813_0.jpg,frames/target_piwm_813_1.jpg,frames/target_piwm_813_2.jpg,顾客在智能售货机前。她持续看向前方，浏览节奏已经放慢，偶尔短暂停顿，但并不显得困惑。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_816,frames/target_piwm_816_0.jpg,frames/target_piwm_816_1.jpg,frames/target_piwm_816_2.jpg,顾客在智能售货机前。她在几个区域之间稳定查看，视线切换自然，动作从容，没有困惑表现。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_piwm_817,frames/target_piwm_817_0.jpg,frames/target_piwm_817_1.jpg,frames/target_piwm_817_2.jpg,顾客在智能售货机前。他长时间看向同一位置，偶尔做很轻的视线调整，整体状态稳定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
